Period,Sales
1,10618.1
2,10537.9
3,10209.3
4,10553
5,9934.9
6,10534.5
7,10196.5
8,10511.8
9,10089.6
10,10371.2
11,10239.4
12,10472.4
13,10827.2
14,10640.8
15,10517.8
16,10154.2
17,9969.2
18,10260.4
19,10737
20,10430
21,10689
22,10430.4
23,10002.4
24,10135.7
25,10096.2
26,10288.7
27,10289.1
28,10589.9
29,10551.9
30,10208.3
31,10334.5
32,10480.1
33,10387.6
34,10202.6
35,10219.3
36,10382.7
37,10820.5
38,10358.7
39,10494.6
40,10497.6
41,10431.5
42,10447.8
43,10684.4
44,10176.5
45,10616
46,10627.7
47,10684
48,10246.7
49,10265
50,10090.4
51,9881.1
52,10449.7
53,10276.3
54,10175.2
55,10212.5
56,10395.5
57,10545.9
58,10635.7
59,10265.2
60,10551.6
61,10538.2
62,10286.2
63,10171.3
64,10393.1
65,10162.3
66,10164.5
67,10327
68,10365.1
69,10755.9
70,10463.6
71,10080.5
72,10479.6
73,9980.9
74,10039.2
75,10246.1
76,10368
77,10446.3
78,10535.3
79,10786.9
80,9975.8
81,10160.9
82,10422.1
83,10757.2
84,10463.8
85,10307
86,10134.7
87,10207.7
88,10488
89,10262.3
90,10785.9
91,10375.4
92,10123.4
93,10462.7
94,10205.5
95,10522.7
96,10253.2
97,10428.7
98,10615.8
99,10417.3
100,10445.4
101,10690.6
102,10271.8
103,10524.8
104,9815
105,10398.5
106,10553.1
107,10655.8
108,10199.1
109,10416.6
110,10391.3
111,10210.1
112,10352.5
113,10423.8
114,10519.3
115,10596.7
116,10650
117,10741.6
118,10246
119,10354.4
120,10155.4
