DATE,Yt
01/01/1998,94.792
02/01/1998,87.82
03/01/1998,86.5549
04/01/1998,76.7521
05/01/1998,78.0303
06/01/1998,86.4579
07/01/1998,93.8379
08/01/1998,93.531
09/01/1998,87.5414
10/01/1998,80.0924
11/01/1998,81.4349
12/01/1998,91.6841
01/01/1999,102.1348
02/01/1999,91.1829
03/01/1999,90.7381
04/01/1999,80.5176
05/01/1999,79.3887
06/01/1999,87.8431
07/01/1999,97.4903
08/01/1999,96.4157
09/01/1999,87.2248
10/01/1999,80.6409
11/01/1999,82.2025
12/01/1999,94.5113
01/01/2000,102.2301
02/01/2000,94.2989
03/01/2000,88.0927
04/01/2000,81.4425
05/01/2000,84.4552
06/01/2000,91.0406
07/01/2000,95.9957
08/01/2000,99.3704
09/01/2000,90.9178
10/01/2000,83.1408
11/01/2000,88.041
12/01/2000,102.4558
01/01/2001,109.1081
02/01/2001,97.1717
03/01/2001,92.8283
04/01/2001,82.915
05/01/2001,82.5465
06/01/2001,90.3955
07/01/2001,96.074
08/01/2001,99.5534
09/01/2001,88.281
10/01/2001,82.686
11/01/2001,82.9319
12/01/2001,93.0381
01/01/2002,102.9955
02/01/2002,95.2075
03/01/2002,93.2556
04/01/2002,85.795
05/01/2002,85.2351
06/01/2002,93.1896
07/01/2002,102.393
08/01/2002,101.6293
09/01/2002,93.3089
10/01/2002,86.9002
11/01/2002,88.5749
12/01/2002,100.8003
01/01/2003,110.1807
02/01/2003,103.8413
03/01/2003,94.5532
04/01/2003,85.062
05/01/2003,85.4653
06/01/2003,91.0761
07/01/2003,102.22
08/01/2003,104.4682
09/01/2003,92.9135
10/01/2003,86.5047
11/01/2003,88.5735
12/01/2003,103.5428
01/01/2004,113.7226
02/01/2004,106.159
03/01/2004,95.4029
04/01/2004,86.7233
05/01/2004,89.0302
06/01/2004,95.5045
07/01/2004,101.7948
08/01/2004,100.2025
09/01/2004,94.024
10/01/2004,87.5262
11/01/2004,89.6144
12/01/2004,105.7263
01/01/2005,111.1614
02/01/2005,101.7795
03/01/2005,98.9565
04/01/2005,86.4776
05/01/2005,87.2234
06/01/2005,99.5076
07/01/2005,108.3501
08/01/2005,109.4862
09/01/2005,99.1155
10/01/2005,89.7567
11/01/2005,90.4587
12/01/2005,108.2257
01/01/2006,104.4724
02/01/2006,101.5196
03/01/2006,98.4017
04/01/2006,87.5093
05/01/2006,90.0222
06/01/2006,100.5244
07/01/2006,110.9503
08/01/2006,111.5192
09/01/2006,95.7632
10/01/2006,90.3738
11/01/2006,92.3566
12/01/2006,103.066
01/01/2007,112.0576
02/01/2007,111.8399
03/01/2007,99.1925
04/01/2007,90.8177
05/01/2007,92.0587
06/01/2007,100.9676
07/01/2007,107.5686
08/01/2007,114.1036
09/01/2007,101.5316
10/01/2007,93.0068
11/01/2007,93.9126
12/01/2007,106.7528
01/01/2008,114.8331
02/01/2008,108.2353
03/01/2008,100.4386
04/01/2008,90.9944
05/01/2008,91.2348
06/01/2008,103.9581
07/01/2008,110.7631
08/01/2008,107.5665
09/01/2008,97.7183
10/01/2008,90.9979
11/01/2008,93.8057
12/01/2008,109.4221
01/01/2009,116.8316
02/01/2009,104.4202
03/01/2009,97.8529
04/01/2009,88.1973
05/01/2009,87.5366
06/01/2009,97.2387
07/01/2009,103.9086
08/01/2009,105.7486
09/01/2009,94.8823
10/01/2009,89.2977
11/01/2009,89.3585
12/01/2009,110.6844
01/01/2010,119.0166
02/01/2010,110.533
03/01/2010,98.2672
04/01/2010,86.3
05/01/2010,90.8364
06/01/2010,104.3538
07/01/2010,112.8066
08/01/2010,112.9014
09/01/2010,100.1209
10/01/2010,88.9251
11/01/2010,92.775
12/01/2010,114.3266
01/01/2011,119.488
02/01/2011,107.3753
03/01/2011,99.1028
04/01/2011,89.3583
05/01/2011,90.0698
06/01/2011,102.8204
07/01/2011,114.7068
08/01/2011,113.5958
09/01/2011,99.4712
10/01/2011,90.3566
11/01/2011,93.8095
12/01/2011,107.3312
01/01/2012,111.9646
02/01/2012,103.3679
03/01/2012,93.5772
04/01/2012,87.5566
05/01/2012,92.7603
06/01/2012,101.14
07/01/2012,113.0357
08/01/2012,109.8601
09/01/2012,96.7431
10/01/2012,90.3805
11/01/2012,94.3417
12/01/2012,105.2722
01/01/2013,115.501
